"No","Source Key","Category","Topic","Difficulty","Question","Option A","Option B","Option C","Option D","Correct Label","Correct Answer","Explanation","Catatan Semakan"
"1","tips-pksk-2026-B-001","Matematik","Matematik Logik","medium","Susunan nombor berikut: 2, 4, 8, 16, … Apakah nombor seterusnya?","18","20","24","32","D","32","",""
"2","tips-pksk-2026-B-002","Sains","Sains dan Alam Sekitar","medium","Jika semua mawar adalah bunga, dan semua bunga adalah tumbuhan, maka…","Semua tumbuhan ialah mawar","Semua bunga ialah tumbuhan","Semua tumbuhan ialah bunga","Semua bunga bukan tumbuhan","B","Semua bunga ialah tumbuhan","",""
"3","tips-pksk-2026-B-003","Logik","Penaakulan","medium","Cari pasangan yang berbeza:","Kucing","Harimau","Singa","Burung","D","Burung","",""
"4","tips-pksk-2026-B-004","Logik","Penaakulan","medium","Ali lebih tinggi daripada Abu. Badrul lebih rendah daripada Ali. Siapakah paling rendah?","Ali","Abu","Badrul","Tidak pasti","B","Abu","",""
"5","tips-pksk-2026-B-005","Matematik","Matematik Logik","medium","Jika 5 × 5 = 25, maka 25 ÷ 5 = ?","10","5","25","0","B","5","",""
"6","tips-pksk-2026-B-006","Logik","Penaakulan","medium","Cari perkataan yang boleh disusun daripada huruf ini: A, P, L, E","PAEL","PEAL","LEAP","PELA","C","LEAP","",""
"7","tips-pksk-2026-B-007","Logik","Penaakulan","medium","Jika hari ini Selasa, hari selepas lusa ialah?","Jumaat","Sabtu","Ahad","Isnin","A","Jumaat","",""
"8","tips-pksk-2026-B-008","Matematik","Matematik Logik","medium","Dalam satu kotak ada 6 bola merah, 4 bola biru, dan 2 bola hijau. Ambil 1 bola secara rawak, warna manakah paling tinggi kebarangkalian?","Hijau","Biru","Merah","Sama sahaja","C","Merah","",""
"9","tips-pksk-2026-B-009","Matematik","Matematik Logik","medium","Jika jam menunjukkan 9:15, berapakah sudut antara jarum jam dan minit?","0°","45°","90°","180°","D","180°","",""
"10","tips-pksk-2026-B-010","Logik","Penaakulan","medium","Lengkapkan pola: ■ ▲ ■ ▲ …","■","▲","●","▼","A","■","",""
"11","tips-pksk-2026-B-011","Matematik","Matematik Logik","medium","3/4 + 1/2 = ?","1","1¼","1½","2","B","1¼","",""
"12","tips-pksk-2026-B-012","Matematik","Matematik Logik","medium","Nilai 35% daripada 200 ialah…","35","70","75","80","B","70","",""
"13","tips-pksk-2026-B-013","Matematik","Matematik Logik","medium","Sebuah segi tiga mempunyai sisi 3 cm, 4 cm, 5 cm. Apakah jenis segi tiga itu?","Siku-siku","Sama sisi","Sama kaki","Tumpul","A","Siku-siku","",""
"14","tips-pksk-2026-B-014","Matematik","Matematik Logik","medium","120 ÷ 8 = ?","12","14","15","16","C","15","",""
"15","tips-pksk-2026-B-015","Matematik","Matematik Logik","medium","Jika 2x + 5 = 15, nilai x = ?","3","4","5","6","C","5","",""
"16","tips-pksk-2026-B-016","Matematik","Matematik Logik","medium","1 km bersamaan…","10 m","100 m","1000 m","10 000 m","C","1000 m","",""
"17","tips-pksk-2026-B-017","Matematik","Matematik Logik","medium","Purata bagi nombor 4, 8, 12, 16 ialah…","8","10","12","14","B","10","",""
"18","tips-pksk-2026-B-018","Matematik","Matematik Logik","medium","Jika 15 murid berkongsi 60 gula-gula sama rata, setiap seorang dapat…","3","4","5","6","B","4","",""
"19","tips-pksk-2026-B-019","Matematik","Matematik Logik","medium","2 jam 30 minit bersamaan…","120 minit","130 minit","140 minit","150 minit","D","150 minit","",""
"20","tips-pksk-2026-B-020","Matematik","Matematik Logik","medium","Rajah berbentuk segi empat tepat mempunyai panjang 10 cm dan lebar 4 cm. Luasnya ialah…","14 cm²","20 cm²","40 cm²","80 cm²","C","40 cm²","",""
"21","tips-pksk-2026-B-021","Matematik","Matematik Logik","medium","Dalam carta pai, ¼ bulatan berwarna biru. Jika jumlah pelajar 40 orang, berapa orang suka warna biru?","5","8","10","12","C","10","",""
"22","tips-pksk-2026-B-022","Matematik","Matematik Logik","medium","Sebuah bas membawa 45 penumpang. 12 turun di stesen pertama dan 8 naik. Berapa penumpang dalam bas sekarang?","41","42","43","44","A","41","",""
"23","tips-pksk-2026-B-023","Matematik","Matematik Logik","medium","Nilai 7² – 5² ialah…","12","24","48","74","B","24","",""
"24","tips-pksk-2026-B-024","Matematik","Matematik Logik","medium","Bilangan sudut bagi pentagon ialah…","4","5","6","7","B","5","",""
"25","tips-pksk-2026-B-025","Matematik","Matematik Logik","medium","0.75 ditukar kepada pecahan biasa…","¾","⅔","⅖","⅘","A","¾","",""
